bedrooms,bathrooms,size_sqft,location,property_type,price
6,3,2814,Meru,Townhouse,18384000
1,5,546,Kericho,House,3211600
2,1,3696,Kericho,Bungalow,17501600
4,1,3380,Kakamega,Apartment,21856000
1,5,2649,Isiolo,Villa,13415200
2,3,3430,Bomet,House,15792000
5,5,3206,Machakos,House,23300800
6,2,2277,Kakamega,Apartment,15517400
5,5,1116,Isiolo,Bungalow,6856800
1,1,619,Mombasa,House,5561500
5,5,2596,Meru,Bungalow,17076000
6,3,2864,Garissa,Villa,15820000
2,5,704,Kericho,House,4138400
4,1,981,Kisumu,House,7767000
2,2,2086,Thika,Villa,12073000
6,1,4261,Nyeri,Bungalow,26013800
1,1,913,Nairobi,Apartment,8517000
6,1,3796,Garissa,Villa,20280000
6,1,2168,Nyeri,Townhouse,13874400
1,5,3812,Garissa,Apartment,19760000
5,1,2556,Nairobi,Townhouse,24104000
5,2,2963,Garissa,Villa,16015000
1,2,3899,Bomet,Villa,17555600
1,2,1113,Meru,Apartment,7078000
1,1,2443,Eldoret,Apartment,16179500
5,4,2217,Bomet,Bungalow,11154800
1,2,641,Thika,Townhouse,3925500
4,2,4121,Bomet,Townhouse,19132400
4,3,808,Kisumu,Bungalow,6756000
1,2,3726,Kisumu,Bungalow,26482000
3,1,3278,Mombasa,Apartment,28563000
1,1,3941,Thika,Villa,21975500
6,2,2051,Garissa,Villa,11655000
4,3,1121,Machakos,House,8722800
4,5,1265,Eldoret,Bungalow,9522500
5,4,925,Machakos,Apartment,7690000
1,4,1067,Nyeri,House,6788600
5,1,4426,Nakuru,House,34295000
6,2,2859,Thika,Apartment,17124500
4,1,3032,Kiambu,Bungalow,25156000
2,4,1180,Machakos,Apartment,8824000
3,3,2489,Thika,House,14589500
3,3,1894,Mombasa,House,16999000
6,3,2781,Kericho,House,14292600
2,1,3114,Kakamega,Villa,19806800
5,4,1027,Kericho,Bungalow,6124200
4,5,2884,Kakamega,Villa,19180800
4,3,518,Meru,Bungalow,4208000
2,3,4425,Kericho,Villa,21055000
2,3,2429,Eldoret,Apartment,16488500
2,1,2324,Nyeri,House,13979200
4,4,1247,Kakamega,Bungalow,8931400
3,2,2762,Kisumu,Villa,20134000
6,1,2933,Kiambu,Townhouse,24764000
4,1,3423,Kakamega,House,22122600
1,1,2149,Kisumu,Bungalow,15343000
4,2,1194,Nairobi,House,11746000
4,4,2729,Kericho,Townhouse,13753400
2,5,1999,Kiambu,Villa,16892000
3,1,1927,Machakos,Townhouse,13803600
1,2,4034,Meru,Villa,24604000
2,5,1349,Kisumu,Bungalow,10343000
2,2,3070,Garissa,Bungalow,15950000
5,5,1190,Nyeri,Apartment,8402000
1,4,3685,Machakos,Villa,25658000
1,4,3060,Garissa,Bungalow,15900000
5,4,3731,Eldoret,Apartment,25651500
4,2,1371,Kericho,Villa,7306600
5,1,1890,Thika,Apartment,11495000
1,3,3159,Meru,Townhouse,19454000
6,1,3799,Garissa,House,20295000
2,3,2065,Mombasa,Apartment,18252500
1,1,1286,Kisumu,House,9302000
3,1,3176,Nyeri,House,19120800
1,3,1489,Bomet,Townhouse,7051600
5,3,2460,Thika,Apartment,14830000
4,4,624,Kakamega,Bungalow,5068800
5,3,996,Kiambu,Townhouse,9268000
1,2,4242,Kisumu,Villa,30094000
6,3,2932,Nakuru,Bungalow,23490000
6,5,3202,Nairobi,Villa,30518000
4,3,608,Nairobi,Villa,6572000
6,5,1378,Mombasa,House,13413000
6,5,998,Kakamega,Villa,7887600
6,1,4032,Kericho,Apartment,19847200
2,3,3400,Nyeri,Townhouse,20420000
2,3,4207,Machakos,Townhouse,29307600
5,5,4329,Kiambu,Villa,36132000
2,4,965,Garissa,Villa,5625000
6,2,631,Nyeri,Villa,5059800
3,1,727,Meru,Townhouse,5062000
4,4,4028,Kisumu,Townhouse,29396000
6,3,2912,Eldoret,Bungalow,20428000
2,3,1575,Nakuru,Bungalow,12512500
6,2,4281,Kiambu,House,35648000
5,5,1068,Thika,Apartment,7374000
3,5,2956,Garissa,Apartment,15880000
3,5,4164,Garissa,Bungalow,21920000
5,3,3184,Isiolo,Townhouse,16583200
5,1,4328,Machakos,House,30530400
3,2,1500,Makueni,House,5000000
3,2,1500,Kitui,House,5000000
3,2,1500,Migori,House,5000000
3,2,1500,Mandera,House,5000000
3,2,1500,Vihiga,House,5000000
3,2,1500,Uasin Gishu,House,5000000
3,2,1500,Narok,House,5000000
3,2,1500,Laikipia,House,5000000
3,2,1500,Wajir,House,5000000
3,2,1500,Kirinyaga,House,5000000
3,2,1500,Turkana,House,5000000
3,2,1500,Busia,House,5000000
3,2,1500,Kilifi,House,5000000
3,2,1500,Trans Nzoia,House,5000000
3,2,1500,Kisii,House,5000000
3,2,1500,Samburu,House,5000000
3,2,1500,Taita-Taveta,House,5000000
3,2,1500,Bungoma,House,5000000
3,2,1500,Embu,House,5000000
3,2,1500,Nyamira,House,5000000
3,2,1500,Nyandarua,House,5000000
3,2,1500,Marsabit,House,5000000
3,2,1500,Tharaka-Nithi,House,5000000
3,2,1500,Siaya,House,5000000
3,2,1500,Murang'a,House,5000000
3,2,1500,Baringo,House,5000000
3,2,1500,Lamu,House,5000000
3,2,1500,Tana River,House,5000000
3,2,1500,Elgeyo-Marakwet,House,5000000
3,2,1500,Homa Bay,House,5000000
3,2,1500,Nandi,House,5000000
3,2,1500,Kajiado,House,5000000
3,2,1500,West Pokot,House,5000000
3,2,1500,Kwale,House,5000000
